publisher,number of published games
BMG,1
Night Dive Studios,1
The Project Reality Team,1
Cinemaware,1
Motion Twin,1
DigiPen,1
CD Projekt,1
"Sony Computer Entertainment, Psygnosis",1
Activision Publishing,1
Vivendi Universal Interactive Publishing,1
"Scavenger, Inc.",1
Bit Blot,1
Hi-Rez Studios,1
"Activision Value, Zoo Digital Publishing",1
QUByte Interactive,1
Mnemosyne,1
Empire Interactive Entertainment,1
Wolfire Games,1
989 Studios,1
Mulawa Dreaming,1
"Compile Heart, Idea Factory International",1
Microsoft Games Studios,1
The Adventure Company Coladia Games,1
Aksys Games,1
"Zoo Games, Zushi Games",1
Tribute Games,1
Interactive Magic,1
Microsoft Corporation,1
"BlackBean Games, 1C Games",1
"Majesco Entertainment, Sold Out Software",1
"Majesco Entertainment, THQ",1
"Electronic Arts, Activision, Virgin Interactive",1
"Warner Brothers, SEGA",1
"Valve, Merscom, Zoo Digital Publishing",1
"Stardock, Nurium Games, Red Marble Games",1
Chasseur de Bots,1
"Microids, Aspyr Media",1
GungHo Online Entertainment,1
"CyberFront Corporation, I-DreamSoft",1
Universal Studios,1
"Papyrus Design Group, Sierra On-Line",1
Childish Things,1
"Deep Silver, Enlight, Valve",1
Le Lombard,1
"Namco, Empire Interactive",1
"LucasArts, THQ",1
"Lego Interactive, Electronic Arts",1
"Ubisoft, SCEJ",1
MGame Corporation,1
Brainstorm,1
"Pan Interactive, Strategy First",1
Actoz Soft,1
Yedang,1
ND Games,1
Radu Privantu,1
TheMeatly Games,1
Compile,1
Crucial Entertainment,1
"Electronic Arts, Inc.",1
Konami Digital Entertainment,1
"Take-Two Interactive, TalonSoft, Global Star Software, Gathering of Developers",1
GIGA Co.,1
Reunion des Musees Nationaux,1
Bimboosoft Co. Ltd,1
Suomen Kotijaatelo Oy,1
Dynamix,1
Ethereal Darkness Interactive,1
Phantom EFX,1
Mad Dog Games,1
Volatile Games,1
Veggie Games Inc,1
Mousechief,1
"Arcane Kids, Phelios",1
Games for Loving,1
Sillysoft Games,1
"Neowiz, NHN USA",1
Time Warner Interactive,1
Recoil Games,1
Terraglyph Interactive,1
"Ubisoft, 1C Company",1
ORT Software,1
Attu Games,1
Actualize,1
Minori,1
Choice Provisions,1
"Valve, Mindscape Group, Merscom",1
Koch Media,1
Take 2,1
THQ Valusoft,1
Pinnacle Entertainment Group,1
"Buka Entertainment, Monolith Productions",1
Blockland LLC,1
"Interplay Entertainment, THQ, Europress",1
"Empire Interactive, Sega",1
The Freeciv project,1
"Webzen, Digital Media Exchange",1
"Broderbund, Interplay",1
"Grey Box, Six Foot",1
JoWooD Productions Software,1
"Got Game Entertainment, Virtual Programming",1
"Acclaim Entertainment, Gradiente",1
Surprise Attack,1
"TRI Synergy, GMX Media",1
Frogster Interactive,1
Rebellion Developments,1
"Nihon Falcom, Mastiff, 505 Game Street",1
Respondesign,1
Circus,1
Turtle Cream,1
BigBen Interactive,1
"Atari, THQ",1
"Crystal Dynamics, Electronic Arts",1
Kama Digital Entertainment,1
Haikuo Soft,1
Turbine Entertainment Software,1
Futuremark Games Studio,1
Jaleco Entertainment,1
"Encore Software, Inc,",1
"RakeInGrass, Reflexive Entertainment, Stardock",1
Watanabe Seisakujo,1
"Dreamcatcher Interactive, The Adventure Company, Deep Silver",1
Mega Man Maker Team,1
Mike Oldfield,1
"Simon & Schuster, TDK Mediactive, Oxygen Games",1
Thompsonsoft,1
Cyberdreams,1
SeithCG,1
"MumboJumbo, LLC",1
"Paradox Interactive, Akella, cdv Software",1
Oxeye Game Studio,1
Zachtronics Industries,1
FireSky,1
GT Interactive Software,1
Wyrmkeep Entertainment,1
Psychic Software,1
Groove Media Inc.,1
Avalon Hill,1
Exotypos,1
"KOEI, CJ Internet, The Foreseen Group",1
Nival Interactive,1
"Ubisoft, Aspyr Media",1
"Pocketwatch Games, Brighter Minds Media",1
Video System,1
Reflexive Arcade,1
"Buka Entertainment, CDV Software",1
Whiptail Interactive,1
IzanagiGames,1
Movie Battles Team,1
Sorath,1
"MC2, The Adventure Company",1
Dingo Games,1
Frozenbyte,1
"Idea Games, Meridian4",1
LookAtMyGame,1
Titus Software,1
Riot Games,1
Inti Creates,1
Audiovisual Enterprises SA,1
Humble Games,1
Third-I Productions,1
